event_date,event_name,event_photo_url,event_purpose,event_report_url,event_tweet_url,event_video_url,has_event_report,latitude,longitude,online_event_url,organisers,place,slug,url,world_region_code,world_region_text
, International Open Data Day 2023 in GUMYOJI,,"YOKOSO Thanksgiving participation report, website production",,,,False,35.423341,139.600331,,Ota Keisuke,Gumyoji,international-open-data-day-2023-in-gumyoji,https://gumyoji.yokohama/ict/,,
,"""Mapping tree canopy using open-source tools in Morogoro, Tanzania ",,Enhancing planning and monitoring of planted trees from Afforestation campaigns that address climate action (SDG 13).,,,,False,-6.82824,37.667789,,"""YouthMappers"" and ""Geospatial Technology and Environment (GeoTE TANZANIA)"" ",Morogoro Tanzania,mapping-tree-canopy-using-open-source-tools-in-morogoro-tanzania,https://twb.nz/geotetanzania,,
,Agenda de Datos Abiertos en #Guatemala #AgebdaDigital,,"Coordinate different open data topics in Guatemala in different sectors including government, private sector, academy and civil society",,,,False,14.64198,-90.51324,,CampusTec,"Campus Tec - Nivel 4, Tec 2 ",agenda-de-datos-abiertos-en-guatemala-agebdadigital,https://events.techsoup.org/events/details/techsoup-techsoup-connect-guatemala-chapter-presents-tecday-opendataday-guatemala-okf-via-campustec/,,
,"AI & Data Literacy Webinar: Mapping the Journey for Your Organization
 ",,This one-hour webinar will demonstrate the fundamental AI & Data concepts necessary to recognize in order to stay competitive in a complex business environment and become data literate.,,,,False,41.878113,-87.629799,,EisnerAmper and Data Products LLC,"Chicago, IL",ai-data-literacy-webinar-mapping-the-journey-for-your-organization,https://www.eisneramper.com/webinar-ai--data-literacy--mapping-journey-0323/,,
,AI Mapping for Climate Resilience,,This event is to increase awareness of Climate Resilience and to introduce students to students to how AI and open geospatial tools can be used in mapping climate resilience. can be used ,,,,False,9.968342,8.883165,,University of Jos YouthMappers,Jos North,ai-mapping-for-climate-resilience,,,
,Aragon Open Data: open and connect data,,"Disseminate the latest actions and works of the open data portal of the Governmt of Aragon: data opening processes , linked open data and knowledge graph",,,,False,41.653245,-0.890796,,Aragon Open Data,Zaragoza / Online,aragon-open-data-open-and-connect-data,https://opendata.aragon.es/informacion/eventos-de-datos-abiertos,,
,ATuNombre.uy 3.0 - Open Data Day,,Update ATuNombre.uy with new open data from December 2022.,,,,False,-34.91441066,-56.16448954,,Data Uruguay,Tomás Giribaldi 2278 esq Maggiolo,atunombre-uy-3-0-open-data-day,http://eepurl.com/g0hBmX,,
,"Budget Analysis and Tracking for Water, Sanitation and Hygiene (BAT-WASH)",,"Leveraging data to ensure transparency and accountability for Water, Sanitation and Hygiene-related projects in Nigeria.",,,,False,9.05203,7.482804,,Water With Development Initiative (WaterWide),Bassan Plaza,budget-analysis-and-tracking-for-water-sanitation-and-hygiene-bat-wash,https://docs.google.com/forms/d/e/1FAIpQLSfa2B9lx0rjtcuvvVc0CfGZk-ylU7ny67tnx92f-StcqRKYtQ/viewform?vc=0&c=0&w=1&flr=0,,
,Cafè amb dades. Dades amb perspectiva de gènere: reptes i polítiques,,"En el marc de l'Open Data Day i del Dia Internacional de les Dones, l'acte posarà de relleu la importància de la incorporació de la perspectiva de gènere en les dades, des de la recollida fins a la publicació, amb l’objectiu de fomentar el disseny de polítiques públiques més igualitàries.",,,,False,41.35544,2.1395,,Generalitat de Catalunya ,Barcelona ,cafe-amb-dades-dades-amb-perspectiva-de-genere-reptes-i-politiques,https://governobert.gencat.cat/ca/dades_obertes/activitats/sessions-cafe-dades/12a-sessio/,,
,Cambodia Open Data Day 2023,,"In 2023, Open Development Cambodia (ODC) organized the Open Data Day under the topic of ""Open Data and ICT in Education"".",,,,False,12.84792,105.824806,,Open Development Cambodia (https://opendevelopmentcambodia.net/),Kampong Cham province,cambodia-open-data-day-2023,,,
,City of Portland 2023 Open Data Disco Tech,,"Collaborate, learn, and get together around open data for the community",,,,False,45.516022,-122.681427,,"City of Portland, OR","City of Portland, OR, USA",city-of-portland-2023-open-data-disco-tech,https://www.smartcitypdx.com/events/2023/3/3/portland-open-data-day-2023-disco-tech,,
,"City of Portland, Oregon Open Data Day celebration",,Provide updates and education on open data related topics,,,,False,45.516022,-122.681427,,"City of Portland, OR, USA","City of Portland, OR",city-of-portland-oregon-open-data-day-celebration,https://www.smartcitypdx.com/events/2023/3/1/join-us-to-the-2023-open-data-day,,
,Cleophas Kyembwe Babu ,,Forum des données ,,,,False,20.0,20.0,,LACLOCHE ,Uvira DRC,cleophas-kyembwe-babu,https://Www.lacloche.net,,
,Coding4Girls in Rural School,,Porpose of event is to see who girls from rural schools can  be archive their dream through technology ,,,,False,35.06421,-84.70397,,CHILD &YOUTH EMPOWERMENT  ORGANIZATION ,Bariadi -Tanzania,coding4girls-in-rural-school,,,
