event_date,event_name,event_photo_url,event_purpose,event_report_url,event_tweet_url,event_video_url,has_event_report,latitude,longitude,online_event_url,organisers,place,slug,url,world_region_code,world_region_text
2024-03-02," International Open Data Day 2024 YokohamaSeminar - A comprehensive overview of open data, APIs, ChatGPT, visualization, and SDGs that you can't hear about now, from the basics to practice.",,Learn about open data and data utilization from three instructors,,,,False,35.446508,139.637996,,International Open Data Day 2024 @ Yokohama Executive Committee,Yokohama,international-open-data-day-2024-yokohamaseminar-a-comprehensive-overview-of,https://presswalker.jp/press/37339,,
2024-03-05, Open Data Day 2024 Mogi das Cruzes - Objetivos de Desenvolvimento Sustentável no Município,,Discuss the SDGs in the municipality of Mogi das Cruzes carried out through the City Hall.,,,,False,-23.519305,-46.185478,,Prefeitura de Mogi das Cruzes - 55 11 47985159 - daniellesilva@mogidascruzes.sp.gov.br ,"Mogi das Cruzes, Sao Paulo, Brazil",open-data-day-2024-mogi-das-cruzes-objetivos-de-desenvolvimento-sustentavel-n,https://www.mogidascruzes.sp.gov.br/noticia/prefeitura-de-mogi-das-cruzes-abre-inscricoes-para-o-open-data-day-2024-o-dia-dos-dados-abertos,,
2024-03-08,"""Datos Abiertos y Sostenibilidad"" ODS11: Ciudades Sostenibles | ODS13: Acción por clima | ODS17: Alianzas",,"Queremos que los datos abiertos contribuyan con el desarrollo humano, inclusivo y sostenible enfocándonos en cuatro áreas: desarrollo inclusivo, ambiente, gobernabilidad democrática y promoción de la igualdad entre géneros.",,,,False,-33.891979,-60.575069,,silvana.pirchi@pergamino.gob.ar,"Pergamino, Buenos Aires, Argentina",datos-abiertos-y-sostenibilidad-ods11-ciudades-sostenibles-ods13-accion-po,,,
2024-03-02,"""Open Data as a Human Right"" Workshop: Empowering Law Students for Sustainable Development",,"To empower law students by framing open data as a fundamental human right, exploring its intersection with digital rights, and highlighting its role in advancing sustainable development.",,,,False,11.1134917,7.7188449,,Digital Grassroots -  Contact the #ODD2024 Project Lead: muhammedbello@digitalgrassroots.org,"Faculty of Law, Ahmadu Bello University Zaria - Nigeria",open-data-as-a-human-right-workshop-empowering-law-students-for-sustainable-d,https://digitalgrassroots.org/blog/digital-grassroots-wins-open-data-day-2024-mini-grant-empowering-law-students-for-sustainable-development.html,,
2024-03-07,#OpenDataDay - les faits d'hiver de l'open data,,"On the occasion of the International Open Data Day, we invite you to explore the most improbable or curious facts about open data portals. For 2 hours, on Twitch hosted by Datactivist, we will assist you in uncovering the 'news in brief' of open data while engaging with data curators who will share their profession of selecting and valorizing the finest gems of open data.",,,,False,48.95393,-0.41753,,Datactivist,Donnay,opendataday-les-faits-d-hiver-de-l-open-data,https://odoo.datactivist.coop/event/opendataday-les-faits-d-hiver-de-l-open-data-2024-03-07-3/register,,
2024-03-08,1° Seminário IDE-Sefin (1° SIS),,"Facilitar a disseminação de informações geoespaciais entre os órgãos da
Prefeitura Municipal de Fortaleza; estimular e divulgar os
debates sobre a abertura e o uso de dados governamentais; fortalecer a premissa inicial da criação da IDE-Sefin com a utilização de softwares livres de código-fonte aberto.",,,,False,-3.729939,-38.52627,,Prefeitura Municipal de Fortaleza - PMF // Secretaria Municipal das Finanças - SEFIN // Coordenadoria de Administração Tributária - CATRI // Célula de Gestão de Cadastro - CECAD // Cadastro Imobiliário Munipal - CIM // Núcleo de Ciências Aplicadas - NCA,"Fortaleza, Ceará - Brasil",1deg-seminario-ide-sefin-1deg-sis,https://www.even3.com.br/1-seminario-ide-sefin/,,
2024-03-07,3. Open Data Expo,,"Motto ""Experience and understand data"". Numerous applications and projects based on publicly accessible data will be presented. Hands-on workshops will also be offered.",,,,False,48.23947,16.378,,University of Applied Sciences Technikum Wien & Vienna Business Agency,"Vienna, Austria",3-open-data-expo,https://www.technikum-wien.at/events/open-data-expo-2024/,,
2024-03-03,[Shingen.py] 山梨の未来を創る、Pythonでオープンデータを活用しよう ,,Deepen your understanding of the use of open data.,,,,False,35.66849484,138.5700394,,,yamanashi,shingen-py-shan-li-nowei-lai-wochuang-ru-pythondeopundetawohuo-yong-siyou,https://shingenpy.connpass.com/event/309044/,,
2024-03-08,A I OPPORTUNITIES FOR YOUNG PEOPLE IN UGANDA ,,Promote economic social development opportunities of artificial intelligence  towards young people  ,,,,False,0.40191,32.58373,,KIYITA FOUNDATION . contac person. phionah Nalumansi .phionah2015@gmail.com,Kampala uganda ,a-i-opportunities-for-young-people-in-uganda,,,
2024-03-08,Alana Vitória Batista Pereira,,,,,,False,1.0,1.0,,SEFIN ,"Fortaleza, Ceará ",alana-vitoria-batista-pereira,,,
